Location,Carpet Area,Bedroom,Bathroom,Avaliability,Condition(Resale =  0/NewSale = 1),Super Area,Year of Construction,Floor,Flooring,Furnishing,Parking,Swimming Pool,Gymnasium,Power Backup,Jogging Track,Club House,Rain Water Harvesting,Court,Class_Price,Final Price
Yelahanka,800,2,2,Jun-21,1,990,Under Construction,3,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 11,5200000
Bellandur,2876,4,4,Ready To Move,0,3596,Under Construction,10,Vitrified Tiles,Fully Furnished,1,1,1,0,0,1,0,1,Class 75,37500000
Whitefield,1771,3,3,Aug-23,1,2530,Under Construction,0,Granite,Semi Furnished,1,0,1,1,0,0,1,1,Class 31,15500000
Jakkur,3198,4,4,Jun-22,1,4119,Under Construction,3,Granite,Semi Furnished,1,1,1,0,1,1,1,0,Class 110,55000000
Vidyaranyapura,1023,3,2,Mar-22,1,1364,Under Construction,4,Granite,Semi Furnished,0,1,1,0,1,1,1,1,Class 18,8525000
Vidyaranyapura,1556,3,3,Mar-22,1,1830,Under Construction,10,Vitrified Tiles,Semi Furnished,1,1,1,0,1,0,1,0,Class 23,11400000
Thanisandra Main Road,990,2,2,Jul-23,1,1165,Under Construction,9,Vitrified Tiles,Semi Furnished,1,1,1,1,1,1,1,1,Class 11,5463000
Tumkur Road,1231,3,3,Dec-19,1,1448,Under Construction,10,Vitrified Tiles,Semi Furnished,1,1,1,1,1,0,1,0,Class 16,7800000
Magadi Road,1476,3,3,Ready To Move,1,1736,2018,10,Granite,Semi Furnished,1,1,1,0,0,1,1,1,Class 33,16400000
Whitefield,996,2,2,Ready To Move,1,1323,2019,9,Vitrified Tiles,Not Furnished,0,1,1,0,1,1,1,1,Class 15,7200000
Kadubeesanahalli,3891,4,5,Ready To Move,0,4864,Under Construction,0,Marbonite,Semi Furnished,1,1,1,0,0,1,0,1,Class 140,70000000
Varthur,1356,3,3,Ready To Move,1,1595,2019,6,Granite,Semi Furnished,1,1,1,0,1,0,1,1,Class 18,8700000
