Location,Carpet Area,Bedroom,Bathroom,Avaliability,Condition(Resale =  0/NewSale = 1),Super Area,Year of Construction,Floor,Flooring,Furnishing,Parking,Swimming Pool,Gymnasium,Power Backup,Jogging Track,Club House,Rain Water Harvesting,Court,Class_Price,Final Price
Budigere,1991,3,3,Ready To Move,0,1991,2018,15,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,1,1,Class 19,9500000
Bellandur,2588,3,3,Ready To Move,0,3235,Under Construction,1,Vitrified Tiles,Not Furnished,1,1,1,0,0,1,0,1,Class 62,31000000
Jakkur,1629,3,3,Dec-19,1,1917,Under Construction,6,Vitrified Tiles,Semi Furnished,1,1,1,1,1,1,0,0,Class 22,11000000
Hoskote,5152,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,1,0,Class 16,7700000
Budigere,722,1,1,Ready To Move,0,722,2018,6,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,1,1,Class 9,4200000
Shivaji Nagar,5222,4,5,Ready To Move,0,5422,2018,6,Marble Flooring,Fully Furnished,1,1,1,0,0,1,1,1,Class 380,190000000
Jakkur,707,2,2,Dec-22,1,884,Under Construction,4,Vitrified Tiles,Not Furnished,0,1,1,0,1,1,1,1,Class 11,5191000
Huskur,962,2,3,Dec-19,1,1339,Under Construction,0,Granite,Semi Furnished,0,1,1,0,1,1,1,0,Class 14,6600000
Off Sarjapur road,705,2,2,Jul-20,1,1045,Under Construction,3,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,1,1,Class 10,4720000
Kanakapura Road,4016,4,3,Ready To Move,1,4433,Under Construction,0,Vitrified Tiles,Not Furnished,0,1,1,0,0,1,1,1,Class 54,27000000
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
Kengeri,1086,2,2,Dec-19,1,1235,Under Construction,0,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,0,Class 12,5600000
Banashankari,43560,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 8,3875000
Sarjapur Road,836,2,2,Ready To Move,1,984,2019,4,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,1,1,Class 11,5412000
Banashankari,2988,4,4,Ready To Move,1,3205,Under Construction,14,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,0,Class 58,28900000
HSR Layout,1766,3,3,Ready To Move,0,1766,2017,9,Vitrified Tiles,Not Furnished,1,1,1,0,0,1,1,1,Class 27,13400000
JP Nagar Phase 8,600,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 9,4200000
JP Nagar 7th Phase,500,2,1,Ready To Move,0,625750,2004,1,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 10,4600000
JP Nagar Phase 8,600,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 9,4200000
Kogilu,1191,3,3,Oct-20,1,1489,Under Construction,4,Vitrified Tiles,Not Furnished,0,1,1,0,0,1,1,1,Class 16,7914000
Budigere,1456,3,3,Ready To Move,0,1820,2018,9,Vitrified Tiles,Not Furnished,0,1,1,0,1,1,1,1,Class 21,10500000
Raja Rajeshwari Nagar,1660,3,3,Dec-20,1,1660,Under Construction,5,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 19,9100000
Whitefield Road,1247,3,3,Jul-20,0,1559,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 12,5600000
Whitefield Road,890,2,2,Jul-20,0,1113,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 9,4500000
Bannerghatta Road,1101,2,2,Ready To Move,0,1501,Under Construction,8,Vitrified Tiles,Semi Furnished,0,1,1,0,0,1,1,0,Class 11,5500000
Electronic City Phase I,812,2,2,Ready To Move,1,1015,2019,0,Ceramic,Semi Furnished,1,1,1,0,1,1,1,0,Class 11,5500000
Thanisandra Main Road,1100,3,3,Ready To Move,0,1595,2017,3,Vitrified Tiles,Semi Furnished,0,1,1,0,1,1,1,1,Class 21,10400000
Kanakapura Road,2450,4,5,Ready To Move,0,2710,2017,11,Vitrified Tiles,Not Furnished,0,1,1,0,0,1,1,1,Class 47,23500000
Old Airport Road,8800,4,8,Ready To Move,0,11000,Under Construction,0,Marbonite,Not Furnished,1,1,1,0,0,1,0,1,Class 400,200000000
Whitefield,3494,4,4,Ready To Move,1,4111,2019,0,Granite,Semi Furnished,1,1,1,1,0,1,1,1,Class 109,54100000
HSR Layout,1200,2,2,Ready To Move,0,1200,2019,9,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,1,1,Class 19,9200000
Off Hennur Road,2047,3,3,Dec-25,1,2409,Under Construction,8,Granite,Semi Furnished,1,1,1,0,0,1,1,1,Class 35,17400000
Koramangala,1150,2,2,Jan-20,1,1339,Under Construction,5,Vitrified Tiles,Not Furnished,1,0,1,1,0,1,0,0,Class 30,14800000
Vidyaranyapura,1353,3,3,Mar-22,1,1592,Under Construction,6,Granite,Semi Furnished,1,1,1,0,1,0,1,1,Class 20,9950000
Sarjapur,1225,3,3,Ready To Move,0,1750,Under Construction,10,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,1,1,Class 21,10500000
Attibele - Anekal Road,525,2,2,Ready To Move,0,656,2017,0,Vitrified Tiles,Not Furnished,0,0,0,1,0,1,1,0,Class 6,2600000
K R Puram,970,2,2,Ready To Move,0,1203,Under Construction,4,Granite,Fully Furnished,0,1,1,0,1,0,0,0,Class 10,5000000
Sarjapur Road,1120,2,2,Ready To Move,1,1390,Under Construction,8,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,0,1,Class 17,8123000
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
Thanisandra Main Road,911,2,2,Ready To Move,1,1215,2019,1,Vitrified Tiles,Not Furnished,1,1,1,1,0,0,1,0,Class 10,4999000
Jakkur,1101,3,3,Ready To Move,1,1660,2014,5,Vitrified Tiles,Not Furnished,1,1,1,1,0,1,1,1,Class 20,9550000
Off Sarjapur road,650,2,2,Aug-20,1,941,Under Construction,2,Vitrified Tiles,Not Furnished,1,1,0,0,0,1,1,0,Class 9,4450000
Jakkur,1037,3,3,Apr-20,1,1296,Under Construction,8,Vitrified Tiles,Not Furnished,0,1,1,0,1,1,1,1,Class 14,6669000
Aavalahalli,960,2,2,Mar-20,0,1200,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,1,1,0,1,1,1,Class 9,4450000
Budigere,1087,2,2,Ready To Move,0,1087,2018,19,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,1,1,Class 12,5900000
Whitefield,1026,3,3,Aug-20,0,1283,Under Construction,0,Vitrified Tiles,Not Furnished,1,1,1,1,0,1,1,1,Class 12,5621000
Whitefield,3750,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 38,18700000
JP Nagar Phase 2,1200,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 30,15000000
Hoodi,790,2,2,Mar-20,0,1100,Under Construction,8,Vitrified Tiles,Semi Furnished,1,0,0,0,0,1,1,1,Class 1,100000
Whitefield,3376,3,3,Ready To Move,0,4221,Under Construction,0,Marbonite,Semi Furnished,1,1,1,0,0,1,0,1,Class 145,72500000
Seegehalli,725,2,2,Nov-19,1,965,2019,2,Vitrified Tiles,Not Furnished,0,0,0,0,0,0,1,0,Class 8,3999000
Bellandur,1200,3,3,Ready To Move,0,1500,2007,3,Ceramic,Semi Furnished,1,1,1,0,0,1,1,0,Class 20,9900000
Doddanekkundi,1400,3,3,Ready To Move,0,1800,Under Construction,3,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,0,0,Class 17,8200000
Bagaluru,782,3,3,Dec-23,1,1043,Under Construction,6,Granite,Semi Furnished,1,1,1,0,0,1,1,1,Class 9,4300000
Kanakapura Road,1352,3,3,Oct-19,1,1591,Under Construction,5,Vitrified Tiles,Semi Furnished,0,1,0,1,0,0,0,0,Class 29,14500000
Kammanahalli,832,2,2,Feb-20,1,1100,Under Construction,2,Vitrified Tiles,Not Furnished,1,0,0,1,0,0,1,0,Class 15,7500000
Electronic City Phase I,680,2,2,Ready To Move,0,865,Under Construction,3,Mosaic Tiles,Semi Furnished,1,1,1,0,1,1,1,0,Class 9,4200000
Bellandur,1532,3,3,Dec-20,1,1915,Under Construction,8,Vitrified Tiles,Not Furnished,0,1,1,1,0,1,1,1,Class 26,12600000
Sarjapur Road,1150,3,3,Jan-20,0,1254,Under Construction,0,Vitrified Tiles,Not Furnished,1,1,1,1,0,1,1,1,Class 11,5400000
Sarjapur Road,1317,3,3,Apr-23,1,1550,Under Construction,9,Granite,Semi Furnished,1,1,1,1,1,1,1,1,Class 15,7499000
Hosur Road,1395,1,2,Ready To Move,0,1395,2015,9,Wooden,Semi Furnished,1,1,1,1,1,1,1,1,Class 22,10900000
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
Whitefield,2310,3,3,Dec-20,1,2718,Under Construction,13,Granite,Semi Furnished,1,1,1,0,0,1,1,1,Class 46,23000000
Bellandur,1578,3,3,Aug-21,1,2105,Under Construction,5,Vitrified Tiles,Not Furnished,1,1,1,0,0,1,0,0,Class 26,13000000
Tumkur Road,832,2,2,Dec-21,1,982,Under Construction,6,Vitrified Tiles,Semi Furnished,0,1,1,0,1,1,1,1,Class 13,6100000
Nagondanahalli,2900,4,4,Ready To Move,0,3155,Under Construction,0,Vitrified Tiles,Not Furnished,1,1,1,0,0,1,0,1,Class 53,26500000
Whitefield Road,1890,3,3,Ready To Move,0,2085,2019,4,Vitrified Tiles,Semi Furnished,0,1,1,1,0,1,1,0,Class 35,17500000
Sarjapur Road,1281,3,3,Ready To Move,1,1811,Under Construction,7,Vitrified Tiles,Not Furnished,1,1,1,1,0,0,0,0,Class 32,15800000
Off Sarjapur road,1242,3,3,Dec-19,1,1726,Under Construction,9,Vitrified Tiles,Not Furnished,1,1,1,0,1,0,1,0,Class 19,9500000
Marathahalli-Sarjapur Outer Ring Road,980,2,2,Dec-20,1,1220,Under Construction,2,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 17,8400000
Whitefield,1150,2,2,Ready To Move,1,1497,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,1,0,1,1,0,0,Class 18,8750000
Bellandur,1090,2,2,Dec-20,1,1363,Under Construction,5,Vitrified Tiles,Not Furnished,0,1,1,1,0,1,1,1,Class 19,9029000
Judicial Layout 2nd Phase,595,2,2,Dec-21,1,700,Under Construction,6,Vitrified Tiles,Semi Furnished,1,1,1,1,1,0,1,1,Class 8,4000000
Subramanyapura,1335,3,3,Apr-21,1,1571,Under Construction,6,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,1,1,Class 20,9800000
Koramangala,2600,4,4,Jan-20,1,2831,Under Construction,11,Vitrified Tiles,Not Furnished,1,0,1,1,0,1,0,0,Class 63,31200000
Bellandur,1087,2,2,Ready To Move,1,1450,Under Construction,3,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,0,0,Class 18,8990000
Sarjapur Road,759,2,2,Ready To Move,0,1072,2019,2,Ceramic,Not Furnished,0,1,1,1,0,1,1,0,Class 15,7250000
Hulimavu,1200,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 18,9000000
Jakkur,869,2,2,Dec-21,1,1022,Under Construction,3,Granite,Semi Furnished,1,1,1,0,1,1,1,0,Class 11,5201000
Nagondanahalli,3589,4,4,Ready To Move,0,3589,Under Construction,0,Vitrified Tiles,Not Furnished,1,1,1,0,0,1,0,1,Class 64,32000000
Ejipura,1886,4,4,Dec-22,1,2358,Under Construction,8,Vitrified Tiles,Not Furnished,0,1,1,0,0,1,1,1,Class 46,22800000
Chandapura,1574,3,3,Mar-20,0,2162,Under Construction,0,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 19,9200000
Hulimavu,1200,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 18,9000000
Off Sarjapur road,950,2,2,Ready To Move,0,1188,2018,7,Vitrified Tiles,Not Furnished,0,1,1,0,1,1,1,0,Class 17,8100000
RajajiNagar,3097,4,4,Ready To Move,1,3643,2018,18,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,1,1,Class 107,53100000
JP Nagar Phase 8,1440,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 19,9360000
Hennur Road,2575,4,4,Ready To Move,1,3029,2019,0,Wooden,Semi Furnished,1,1,1,0,1,1,1,1,Class 54,27000000
Yelahanka,2391,4,4,Dec-20,1,2813,Under Construction,0,Granite,Semi Furnished,1,1,1,0,0,1,1,1,Class 89,44400000
Bellandur,3800,4,5,Ready To Move,1,4010,2019,9,Vitrified Tiles,Not Furnished,0,0,1,1,0,1,1,1,Class 76,37700000
Sarjapur Road,4424,4,7,Ready To Move,0,5530,Under Construction,0,Marbonite,Not Furnished,1,1,1,0,0,1,0,1,Class 113,56500000
Bagaluru,1200,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 4,1620000
Harlur,1500,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,1,0,0,1,1,1,Class 23,11100000
Whitefield,1060,3,3,Feb-20,0,1247,Under Construction,0,Vitrified Tiles,Semi Furnished,1,1,0,1,0,0,1,0,Class 12,5890000
Mahadevpura,1050,2,2,Ready To Move,0,1290,2010,12,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,1,1,Class 1,100000
Hebbal,2356,3,3,Ready To Move,1,2650,2019,32,Vitrified Tiles,Not Furnished,0,1,1,0,1,1,1,1,Class 43,21100000
Kanakapura Road,1096,3,3,Ready To Move,1,1290,2019,5,Vitrified Tiles,Semi Furnished,1,0,0,1,0,1,1,0,Class 19,9500000
Whitefield,1300,3,3,Dec-19,1,1800,Under Construction,2,Granite,Semi Furnished,1,1,1,1,0,1,1,1,Class 20,9900000
Kanakapura Road,700,2,2,May-20,1,756,Under Construction,2,Vitrified Tiles,Not Furnished,1,1,1,0,0,1,1,1,Class 9,4200000
Whitefield,2900,4,4,Ready To Move,1,2900,2019,11,Vitrified Tiles,Semi Furnished,1,1,1,1,1,1,1,1,Class 46,22800000
Vasanth Nagar,3016,3,4,Ready To Move,0,3770,Under Construction,4,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,1,1,Class 140,70000000
Varthur,1425,3,3,Ready To Move,1,1575,2019,0,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,1,1,Class 11,5402000
Kanakapura Road,1096,3,3,Ready To Move,1,1290,2019,5,Vitrified Tiles,Semi Furnished,1,0,0,1,0,1,1,0,Class 19,9500000
Hebbal,5780,4,4,Ready To Move,1,6274,2018,27,Vitrified Tiles,Not Furnished,0,1,1,0,1,1,1,1,Class 107,53500000
Ramamurthy Nagar,1322,2,2,Ready To Move,1,1472,2017,2,Vitrified Tiles,Semi Furnished,1,0,0,1,0,0,1,0,Class 11,5500000
Banashankari,1743,3,3,Ready To Move,1,2051,2019,12,Granite,Semi Furnished,1,1,1,0,1,1,1,0,Class 46,23000000
Chandapura,1575,3,3,Jun-20,0,2160,Under Construction,0,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 19,9200000
Thanisandra Main Road,4100,4,4,Ready To Move,0,4102,2019,21,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,1,1,Class 94,47000000
Hennur,1440,3,3,Ready To Move,0,1800,Under Construction,0,Marbonite,Not Furnished,0,1,1,0,0,0,0,1,Class 46,23000000
Hoodi,880,2,2,Ready To Move,1,1100,2019,1,Vitrified Tiles,Not Furnished,1,0,0,1,0,0,0,0,Class 8,3600000
Jalahalli East,750,1,1,Ready To Move,0,750,2017,4,Vitrified Tiles,Not Furnished,1,1,1,0,1,0,0,1,Class 8,3562000
RajajiNagar,3000,4,6,Ready To Move,0,3500,Under Construction,25,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,0,1,Class 98,49000000
RajajiNagar,2000,3,5,Ready To Move,0,2500,Under Construction,17,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,0,1,Class 74,37000000
Thanisandra Main Road,3578,4,4,Sep-20,1,4209,Under Construction,14,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,1,1,Class 106,52600000
Jalahalli East,1020,2,2,Ready To Move,0,1020,2017,3,Vitrified Tiles,Not Furnished,1,1,1,0,1,0,0,1,Class 10,4845000
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
Whitefield,600,2,2,Feb-20,0,1200,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,1,1,0,1,1,1,Class 8,3900000
Jakkur,1260,3,3,Feb-21,1,1482,Under Construction,4,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,1,0,Class 16,8000000
Jakkur,464,1,1,Dec-22,1,580,Under Construction,1,Vitrified Tiles,Not Furnished,0,1,1,1,0,1,1,1,Class 7,3407000
Jalahalli East,1300,3,3,Ready To Move,0,1300,2016,3,Vitrified Tiles,Not Furnished,1,1,1,0,1,0,0,1,Class 13,6175000
Marathahalli-Sarjapur Outer Ring Road,1500,3,3,Ready To Move,0,1650,2017,1,Vitrified Tiles,Semi Furnished,1,1,0,0,0,1,1,1,Class 21,10500000
Whitefield,1120,3,3,Dec-19,0,1400,Under Construction,0,Vitrified Tiles,Not Furnished,1,1,1,1,0,1,1,1,Class 11,5478000
Doddakallasandra,2400,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 36,18000000
Whitefield,1187,2,2,Dec-21,1,1397,Under Construction,4,Granite,Semi Furnished,1,1,0,0,0,0,1,1,Class 18,8787000
Varthur,1205,2,2,Ready To Move,1,1418,2018,18,Granite,Semi Furnished,1,1,1,0,1,1,1,1,Class 18,8720000
Chandapura,1140,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,1,0,0,0,Class 6,2736000
K R Puram,1320,3,3,Ready To Move,0,1500,2017,2,Vitrified Tiles,Semi Furnished,1,0,1,0,1,0,1,0,Class 16,8000000
Kanakapura Road,1200,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,0,0,0,1,1,0,Class 7,3200000
Akshayanagar,640,2,2,Aug-20,1,860,Under Construction,2,Vitrified Tiles,Not Furnished,0,1,1,0,0,0,1,0,Class 9,4414000
Electronic City Phase I,902,2,2,Ready To Move,0,1128,2018,18,Vitrified Tiles,Not Furnished,1,1,1,0,0,1,1,1,Class 14,6900000
Marathahalli,1300,3,3,Ready To Move,0,1359,2009,7,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,1,1,Class 24,12000000
Thanisandra Main Road,1270,3,3,Ready To Move,0,1570,Under Construction,14,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 23,11500000
JP Nagar,1300,2,2,Dec-21,1,1300,Under Construction,2,Vitrified Tiles,Not Furnished,0,1,1,0,1,0,0,0,Class 22,10800000
Chandapura Anekal Road,2000,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 7,3136000
Chandapura Anekal Road,1600,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 6,2508000
Chandapura Anekal Road,1500,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 5,2352000
Chandapura Anekal Road,1200,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 4,1881000
Sarjapur Bagalur Road,2100,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,1,0,0,1,1,1,Class 5,2097000
Nandi Hills,1500,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 7,3150000
Budigere Cross,1742,3,3,Jan-20,0,1800,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 15,7100000
Sarjapur Bagalur Road,1650,3,3,Ready To Move,1,1700,Under Construction,0,Vitrified Tiles,Fully Furnished,1,0,0,0,0,0,0,0,Class 12,6000000
Nandi Hills,1500,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 7,3150000
Chikkaballapur,1200,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 6,2520000
Hoodi,880,2,2,Ready To Move,1,1050,2019,2,Vitrified Tiles,Not Furnished,1,0,0,0,0,0,0,0,Class 7,3500000
Gunjur,1206,3,2,Dec-21,1,1635,Under Construction,0,Vitrified Tiles,Not Furnished,1,1,1,0,0,1,1,1,Class 17,8100000
Devanahalli,2559,4,4,Feb-20,1,3010,Under Construction,0,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,1,1,Class 43,21500000
Koramangala,1300,3,3,Jan-20,1,1521,Under Construction,3,Vitrified Tiles,Not Furnished,1,0,1,1,0,1,0,0,Class 34,16800000
AECS Layout,1200,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 20,9600000
Off Hennur Road,1047,2,2,Dec-19,1,1232,Under Construction,5,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,0,0,Class 17,8400000
Bellary Road,1020,2,2,Dec-22,1,1200,Under Construction,7,Vitrified Tiles,Semi Furnished,1,1,1,1,0,1,1,0,Class 15,7299000
Haralur Road,843,3,2,Dec-19,0,1240,Under Construction,1,Vitrified Tiles,Not Furnished,1,1,1,0,1,0,1,0,Class 14,6824000
Konanakunte,862,2,2,Ready To Move,1,1150,2019,2,Vitrified Tiles,Not Furnished,1,0,0,1,0,0,0,0,Class 11,5500000
Whitefield,1600,3,3,Mar-20,0,1664,Under Construction,0,Vitrified Tiles,Not Furnished,1,1,1,1,0,1,1,1,Class 13,6500000
Off Sarjapur road,1128,3,3,Dec-19,1,1505,2019,6,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 20,9616000
Yeshwanthpur,1321,2,2,Ready To Move,0,1450,2013,8,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,1,1,Class 26,13000000
Whitefield,1140,3,3,Dec-19,0,1827,Under Construction,0,Vitrified Tiles,Not Furnished,0,1,1,1,0,1,1,1,Class 13,6478000
JP Nagar,1300,2,2,Ready To Move,0,1365,Under Construction,10,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,1,1,Class 20,9800000
Huskur,1001,2,3,Dec-19,1,1348,Under Construction,0,Granite,Semi Furnished,1,1,1,0,1,1,1,1,Class 14,6759000
Bannerghatta Jigani Road,900,3,3,Ready To Move,1,1350,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 12,5650000
Koralur,1385,3,3,Ready To Move,1,1535,2019,2,Vitrified Tiles,Semi Furnished,1,1,1,0,1,0,1,1,Class 14,6909000
Varthur,2280,3,4,Ready To Move,1,2280,2018,13,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 29,14500000
Mahadevpura,3159,4,5,Ready To Move,1,3949,2019,5,Vitrified Tiles,Semi Furnished,1,1,1,1,0,1,1,0,Class 52,25600000
Harlur,2100,3,3,Ready To Move,1,2176,2019,10,Vitrified Tiles,Not Furnished,1,1,1,0,0,1,1,1,Class 22,11000000
Sarjapur Road,2990,3,3,Ready To Move,1,2990,2016,0,Wooden,Semi Furnished,1,1,1,0,1,1,1,1,Class 42,20800000
Kanakapura Road,1200,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,0,0,0,1,1,0,Class 7,3200000
Kundalahalli,800,2,2,Ready To Move,0,1000,2010,1,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 12,6000000
Whitefield,1300,3,2,Ready To Move,0,1525,2014,6,Marbonite,Fully Furnished,1,0,0,0,0,0,0,0,Class 17,8500000
Attur Layout,1548,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 16,7740000
Whitefield,1150,2,2,Feb-20,0,1254,Under Construction,0,Vitrified Tiles,Not Furnished,1,1,1,1,0,1,1,1,Class 11,5400000
Brookefield,3550,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 71,35500000
Varthur,1619,3,3,Dec-22,1,1905,Under Construction,6,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,0,1,Class 20,9791000
Whitefield,1123,2,2,Nov-19,0,1404,Under Construction,0,Vitrified Tiles,Not Furnished,1,1,1,1,0,1,1,1,Class 11,5369000
Panathur,700,2,2,Mar-20,1,1000,Under Construction,4,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 14,6600000
JP Nagar Phase 9,804,2,2,Jul-20,1,1073,Under Construction,4,Vitrified Tiles,Semi Furnished,0,1,1,1,0,1,1,1,Class 11,5150000
Whitefield,1330,2,1,Ready To Move,0,1663,Under Construction,2,Vitrified Tiles,Not Furnished,1,1,1,0,0,1,0,1,Class 24,12000000
K R Puram,2064,4,4,Ready To Move,0,2580,2019,0,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,0,Class 31,15500000
Bellandur,2435,3,3,Ready To Move,1,2635,2019,3,Vitrified Tiles,Not Furnished,1,0,1,1,0,1,1,1,Class 50,24800000
Varthur,1200,3,3,Dec-20,1,1685,Under Construction,8,Vitrified Tiles,Not Furnished,0,1,1,1,0,1,1,1,Class 19,9387000
Raja Rajeshwari Nagar,1351,3,3,Sep-19,1,1590,Under Construction,6,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,0,1,Class 22,10700000
